BGtoBG_PP,BGtoVM1S1_PP,BGtoDM1S1_PP,BGtoV1_PP,BGtoU1_PP,VM1S1toBG_PP,VM1S1toVM1S1_PP,DM1S1toBG_PP,DM1S1toDM1S1_PP,V1toBG_PP,V1toV1_PP,U1toBG_PP,U1toU1_PP
0.999999937322394,0.89197703499262,0.574672492561208,0.814175612774765,0.81642298662765,0.721543268708245,0.9999998592438,0.807225746141199,0.999999954878946,0.745940105080338,0.999999942368387,0.771521140870649,0.999999985774296
0.999999969424815,0.620741906610341,0.536635035324688,0.703051589935841,0.62971234393011,0.767738002809541,0.999999918496951,0.752957332154723,0.999999971358227,0.734264451446378,0.999999939235675,0.703693055126613,0.999999953963119
0.999999959270729,0.554759495820767,0.643012727129961,0.633471750617517,0.607529879196255,0.718284869093475,0.999999984759374,0.756432654892133,0.999999781416072,0.684641656343643,0.999999984951358,0.733064276770027,0.999999942153308
0.866656788011092,1,0.999985446241679,1,0.999999999999959,0.996588045074047,0.999999087902825,0.765784881166913,0.999985989986671,0.602833954814564,0.999968708511299,0.822103089929338,0.999946370273803
0.999879611278964,0.999999999999989,0.999998723736983,0.999712049672862,0.999999999999992,0.993517163794504,0.999998688435132,0.999999867089414,0.782140612600941,0.997458634309331,0.999999962622631,0.999316693310146,0.99999698765775
0.999999999148203,0.587899271299062,0.873179686104191,0.963660766744151,0.731292960675068,0.994498177581348,0.999999771965676,0.903960498555364,0.996358437962158,0.807249781441707,0.999999999893443,0.961254626884342,0.999999999905528
0.999999966487644,0.588230144652779,0.662448156364127,0.544873499397725,0.620963655576465,0.575390185208095,0.999999885573717,0.715103756732644,0.999999940263384,0.689550961655977,0.999999946073372,0.649976942066372,0.999999984538269
0.999999969468461,0.6283807772289,0.680086380410163,0.659816231541584,0.688339854105275,0.694023889139658,0.999999979275691,0.641558201982026,0.999999704992845,0.675686167210723,0.999999976647883,0.671167287322189,0.999999948203329
0.999999942154791,0.650226726578041,0.633412614632675,0.656023911664416,0.641303897879072,0.66531018964183,0.999999966673728,0.624737458670948,0.999999963728041,0.60076392577656,0.999999965598552,0.666628035048789,0.999999965796559
0.999999924530158,0.551203385161597,0.733721651915586,0.831497989562082,0.507214020492105,0.718298587920927,0.999999987314804,0.79674430322533,0.999999888830094,0.805635236956975,0.999999812791277,0.720360573415204,0.999999988092542
0.999999991085455,0.5300592767478,0.689907595879534,0.754513682888668,0.549303316603337,0.756959292166275,0.99999999676274,0.867474892666552,0.999999979155321,0.904014529137896,0.999898300625274,0.716968471467077,0.999999992981384
0.999999539095276,0.86393902959672,0.960910471896738,0.726756912533749,0.658407929363132,0.980359606144652,0.999999523323798,0.832586491358753,0.999996175476277,0.714113715503382,0.999999982724739,0.853554786987083,0.999999862308255
